action,alpha,loc,beta,mu,std,min,max
walk,0.7215183181102014,7.999999999999998,5.814098028223652,55.28801843317972,17.22666709514738,8,179
rest,0.07084754363161093,17.999999999999996,10.488070241935258,115.77142857142857,122.25175095778751,18,723
run,13.71295116024363,-11.450787983921257,3.580329815169879,37.64609800362977,13.67844284811016,1,94
tackle,1.326187840072975,19.627218671892376,20.0564168038118,46.225806451612904,23.742855872763016,20,118
dribble,14.154551532547822,-24.476221272692868,4.502624005804765,39.256410256410255,17.190065629441623,3,100
pass,3.364524054059587,-3.3110499320365023,13.671641490077207,42.6875,25.318517803181134,3,102
cross,495.9487665527631,-331.04833466493744,0.7733262899130198,52.5,17.168284713389397,30,72
shot,467.01171698627206,-354.22943482550977,0.8308048313860759,33.77777777777778,17.96155015444428,4,66
